Size,Time(s)
1000,4.468e-07
2000,3.746e-07
3000,3.412e-07
4000,2.867e-07
5000,3.494e-07
6000,2.898e-07
7000,2.641e-07
8000,2.283e-07
9000,2.848e-07
10000,2.407e-07
11000,2.325e-07
12000,2.051e-07
13000,1.971e-07
14000,1.935e-07
15000,1.894e-07
16000,1.748e-07
17000,2.343e-07
18000,2.284e-07
19000,2.275e-07
20000,2.2e-07
21000,2.156e-07
22000,2.124e-07
23000,2.11e-07
24000,2.062e-07
25000,2.059e-07
26000,2.041e-07
27000,2.006e-07
28000,2e-07
29000,1.995e-07
30000,1.98e-07
31000,1.997e-07
32000,1.98e-07
33000,2.436e-07
34000,2.423e-07
35000,2.44e-07
36000,2.372e-07
37000,2.386e-07
38000,2.337e-07
39000,2.309e-07
40000,2.312e-07
41000,2.294e-07
42000,2.268e-07
43000,2.274e-07
44000,2.253e-07
45000,2.242e-07
46000,2.222e-07
47000,2.206e-07
48000,2.233e-07
49000,2.2e-07
50000,2.178e-07
