Size,Time(s)
1000,3.975e-07
2000,3.676e-07
3000,3.529e-07
4000,2.982e-07
5000,3.106e-07
6000,2.795e-07
7000,2.663e-07
8000,2.629e-07
9000,2.93e-07
10000,2.886e-07
11000,2.811e-07
12000,2.811e-07
13000,2.784e-07
14000,2.806e-07
15000,2.824e-07
16000,2.76e-07
17000,3.232e-07
18000,3.202e-07
19000,3.176e-07
20000,3.169e-07
21000,3.074e-07
22000,3.057e-07
23000,3.031e-07
24000,3.026e-07
25000,3.024e-07
26000,2.998e-07
27000,3.006e-07
28000,2.99e-07
29000,2.95e-07
30000,2.947e-07
31000,2.928e-07
32000,2.933e-07
33000,3.427e-07
34000,3.426e-07
35000,3.443e-07
36000,3.416e-07
37000,3.386e-07
38000,3.427e-07
39000,3.349e-07
40000,3.306e-07
41000,3.307e-07
42000,3.936e-07
43000,3.643e-07
44000,3.622e-07
45000,3.539e-07
46000,3.544e-07
47000,3.566e-07
48000,3.832e-07
49000,3.438e-07
50000,3.336e-07
