Size,Time(s)
1000,2.122e-07
2000,1.941e-07
3000,2.14e-07
4000,1.635e-07
5000,2.036e-07
6000,1.622e-07
7000,1.451e-07
8000,1.319e-07
9000,1.714e-07
10000,1.523e-07
11000,1.444e-07
12000,1.409e-07
13000,1.261e-07
14000,1.244e-07
15000,1.234e-07
16000,1.204e-07
17000,1.636e-07
18000,1.606e-07
19000,1.574e-07
20000,1.548e-07
21000,1.499e-07
22000,1.465e-07
23000,1.455e-07
24000,1.383e-07
25000,1.348e-07
26000,1.245e-07
27000,1.243e-07
28000,1.259e-07
29000,1.251e-07
30000,1.227e-07
31000,1.257e-07
32000,1.236e-07
33000,1.619e-07
34000,1.617e-07
35000,1.596e-07
36000,1.592e-07
37000,1.566e-07
38000,1.564e-07
39000,1.529e-07
40000,1.512e-07
41000,1.567e-07
42000,1.502e-07
43000,1.483e-07
44000,1.482e-07
45000,1.413e-07
46000,1.432e-07
47000,1.431e-07
48000,1.428e-07
49000,1.412e-07
50000,1.384e-07
