StringLength;TimeKMP(ms);TimeBoyerMoore(ms);TimeRabinKarp(ms)
1000;240.187;88.7973;139.258
1100;222.92;89.4701;153.68
1200;238.058;97.011;167.697
1300;259.045;101.181;183.799
1400;277.604;107.611;196.739
1500;299.622;115.591;212.103
1600;324.108;121.359;229.264
1700;337.507;129.094;236.828
1800;360.105;131.272;255.603
1900;381.369;136.721;268.966
2000;405.34;144.641;278.039
2100;412.519;154.711;294.634
2200;452.396;175.166;339.891
2300;484.319;177.913;358.125
2400;503.741;179.759;372.318
2500;529.342;189.798;362.069
2600;515.246;183.777;372.451
2700;567.164;196.307;403.354
2800;592.837;206.304;410.359
2900;574.536;200.259;414.929
3000;596.962;206.568;430.636
