"No.","Time","Source","Destination","Protocol","Length","Info"
"1027","67","172.22.68.219","239.255.255.250","SSDP","213","M-SEARCH * HTTP/1.1 "
"1040","68","172.22.68.219","239.255.255.250","SSDP","213","M-SEARCH * HTTP/1.1 "
"1046","69","172.22.68.219","239.255.255.250","SSDP","213","M-SEARCH * HTTP/1.1 "
"1058","70","172.22.68.219","239.255.255.250","SSDP","213","M-SEARCH * HTTP/1.1 "
"7014","108","fe:f4:88:11:be:4e","Broadcast","ARP","42","Who has 172.22.68.196? Tell 172.22.68.219"
"7791","112","fe:f4:88:11:be:4e","Broadcast","ARP","42","Who has 172.22.68.196? Tell 172.22.68.219"
"8033","115","fe:f4:88:11:be:4e","Broadcast","ARP","42","Who has 172.22.68.196? Tell 172.22.68.219"
"8478","116","fe:f4:88:11:be:4e","Broadcast","ARP","42","Who has 172.22.68.196? Tell 172.22.68.219"
"8964","120","fe:f4:88:11:be:4e","Broadcast","ARP","42","Who has 172.22.68.196? Tell 172.22.68.219"
"29865","186","172.22.68.219","224.0.0.251","MDNS","160","Standard query response 0x0000 AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 7799e5cd-dcb0-4515-8f3e-552801155d9e.local"
"29866","186","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","180","Standard query response 0x0000 AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 7799e5cd-dcb0-4515-8f3e-552801155d9e.local"
"29883","186","172.22.68.219","224.0.0.251","MDNS","172","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QU"" question SRV 0 0 60277 7799e5cd-dcb0-4515-8f3e-552801155d9e.local"
"29884","186","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","192","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QU"" question SRV 0 0 60277 7799e5cd-dcb0-4515-8f3e-552801155d9e.local"
"29910","186","172.22.68.219","224.0.0.251","MDNS","172","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QM"" question SRV 0 0 60277 7799e5cd-dcb0-4515-8f3e-552801155d9e.local"
"29911","186","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","192","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QM"" question SRV 0 0 60277 7799e5cd-dcb0-4515-8f3e-552801155d9e.local"
"29939","187","172.22.68.219","224.0.0.251","MDNS","172","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QM"" question SRV 0 0 60277 7799e5cd-dcb0-4515-8f3e-552801155d9e.local"
"29940","187","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","192","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QM"" question SRV 0 0 60277 7799e5cd-dcb0-4515-8f3e-552801155d9e.local"
"29963","187","172.22.68.219","239.255.255.250","SSDP","213","M-SEARCH * HTTP/1.1 "
"29986","187","172.22.68.219","224.0.0.251","MDNS","310","Standard query response 0x0000 TXT, cache flush PTR _asquic._udp.local PTR 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local SRV, cache flush 0 0 60277 7799e5cd-dcb0-4515-8f3e-552801155d9e.local AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 7799e5cd-dcb0-4515-8f3e-552801155d9e.local NSEC, cache flush 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local"
"29987","187","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","330","Standard query response 0x0000 TXT, cache flush PTR _asquic._udp.local PTR 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local SRV, cache flush 0 0 60277 7799e5cd-dcb0-4515-8f3e-552801155d9e.local AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 7799e5cd-dcb0-4515-8f3e-552801155d9e.local NSEC, cache flush 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local"
"30000","187","172.22.68.219","224.0.0.251","MDNS","160","Standard query response 0x0000 AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 7799e5cd-dcb0-4515-8f3e-552801155d9e.local"
